id. Response ID;submitdate. Date submitted;Month Year[subm...Date submitted];Month[Month Yea...ate submitted]];Year[Month Year...ate submitted]];lastpage. Last page;Carmain;Previous PHEVs;Previous BEVs;Previous HEVs;Previous CNGs;Household Income;Importance of reducing greenhouse gas emissions (-3 not important, 3 important);Home ownership (own 1);Home Type (detached 1);Highest Level of Education;Longest trip in the last 12 months;Number of trips over 200 miles in the last 12 months;One-way commute distance;Number of people in the household;Age;Gender (Male 1);Number of vehicles in the household;Annual VMT Estimate ;FCV, BEV Dummy
FCV_1_51;06.06.2017 15:46;Jun 17;6;2017;42;2017 Toyota Mirai;1;0;0;0;175000;0,89;1;1;4;335,71;15;113,32;1;65;1;2;11475;0
FCV_1_52;06.06.2017 15:59;Jun 17;6;2017;42;2017 Toyota Mirai;1;0;0;0;175000;;0;1;4;339,38;3;12,7;3;45;1;2;5377,5;0
FCV_1_53;06.06.2017 16:17;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;500000;2,87;1;0;4;410,32;0;25,03;4;65;0;5;11032;0
FCV_1_54;06.06.2017 19:04;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;125000;2,72;0;0;4;153,63;9;15,76;1;45;0;2;11440;0
FCV_1_55;;;;;19;2017 Toyota Mirai;0;0;0;0;;;;;;;;;4;35;0;2;;0
FCV_1_56;06.06.2017 20:09;Jun 17;6;2017;42;2017 Toyota Mirai;0;1;0;0;175000;2,63;1;1;3;417,32;0;28,6;4;55;0;3;11333,33333;0
FCV_1_57;06.06.2017 21:26;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;225000;2,55;1;1;4;112,83;5;20,2;2;65;0;2;11621,05263;0
FCV_1_58;06.06.2017 22:55;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;;-1,37;1;1;3;112,15;2;19,54;2;45;0;2;11409,75;0
FCV_1_59;06.06.2017 23:44;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;125000;2,81;1;1;4;;0;37,27;4;35;0;2;6000;0
FCV_1_60;07.06.2017 06:12;Jun 17;6;2017;42;2016 Toyota Mirai;1;0;0;0;225000;1,28;1;1;4;393,02;0;66,35;2;55;1;2;24000;0
FCV_1_61;07.06.2017 09:41;Jun 17;6;2017;42;2017 Toyota Mirai;1;0;0;0;500000;2,65;1;1;4;1366,74;0;44,1;5;45;0;5;15000;0
FCV_1_62;07.06.2017 11:32;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;175000;2,63;1;1;4;444,34;2;28,75;1;45;0;1;12461,53846;0
FCV_1_63;;;;;41;2017 Toyota Mirai;0;0;0;0;175000;0,51;0;0;4;332,69;0;34,96;2;35;0;2;;0
FCV_1_64;08.06.2017 11:42;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;;2,71;1;0;;522,47;8;24,8;1;55;0;1;6461,538462;0
FCV_1_65;07.06.2017 15:27;Jun 17;6;2017;42;2017 Toyota Mirai;1;0;0;0;325000;1,54;1;1;4;408,39;0;9,02;4;45;0;2;12000;0
FCV_1_66;07.06.2017 15:25;Jun 17;6;2017;42;2017 Toyota Mirai;1;0;1;0;;2,72;1;1;3;291,66;0;2,22;3;65;0;3;-18699;0
FCV_1_67;07.06.2017 15:55;Jun 17;6;2017;42;2016 Toyota Mirai;0;1;0;0;500000;0,93;1;1;1;427,28;0;34,17;5;18;0;3;15375;0
FCV_1_68;07.06.2017 15:31;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;175000;;0;0;4;350,57;3;28,35;3;55;0;3;8400;0
FCV_1_69;;;;;3;2016 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_70;07.06.2017 16:02;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;125000;2,34;0;0;2;371,24;2;9,86;2;45;0;2;8666,666667;0
FCV_1_71;07.06.2017 15:51;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;75000;0,96;0;0;3;;0;6,84;1;45;1;1;9480;0
FCV_1_72;;;;;2;2017 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_73;07.06.2017 15:54;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;275000;1,1;1;1;4;71,98;0;16,47;4;45;0;2;12144;0
FCV_1_74;07.06.2017 15:37;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;275000;2,69;1;1;4;446,41;7;6,72;5;55;0;4;17356;0
FCV_1_75;07.06.2017 15:44;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;175000;-2,82;1;1;4;57,32;0;29,6;8;35;0;2;12056;0
FCV_1_76;07.06.2017 15:56;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;225000;2,67;1;1;2;251,11;1;10,3;2;75;0;2;6635,294118;0
FCV_1_77;07.06.2017 15:38;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;225000;1,42;1;1;4;311,19;2;19,33;7;45;0;2;16302;0
FCV_1_78;07.06.2017 15:43;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;125000;2,72;1;1;4;179,67;4;23,06;2;55;0;3;10846,15385;0
FCV_1_79;07.06.2017 16:00;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;500000;2,9;1;1;3;340,33;0;14,15;6;45;0;5;8700;0
FCV_1_80;07.06.2017 15:50;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;275000;2,75;0;0;4;309,73;0;57,39;2;35;0;3;12480;0
FCV_1_81;07.06.2017 16:06;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;;2,93;1;1;4;;0;;2;75;0;2;3248;0
FCV_1_82;07.06.2017 15:50;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;275000;1,64;1;1;4;405,27;0;34,32;3;25;0;4;12000;0
FCV_1_83;;;;;28;2016 Toyota Mirai;0;0;0;0;;;;;;147,56;0;47,54;4;55;0;4;;0
FCV_1_84;;;;;6;2017 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_85;07.06.2017 15:56;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;175000;1,37;1;1;3;106,27;7;3,33;2;35;0;2;14880;0
FCV_1_86;07.06.2017 16:41;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;275000;1,77;1;1;4;116,55;0;15,57;3;45;0;2;9468;0
FCV_1_87;;;;;18;2016 Toyota Mirai;0;0;1;0;;;;;;;;;4;35;0;2;;0
FCV_1_88;;;;;0;-3;;;;;;;;;;;;;;;;1;;
FCV_1_89;07.06.2017 16:04;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;275000;2,56;1;1;4;;0;14,25;2;65;1;2;6004;0
FCV_1_90;07.06.2017 16:13;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;75000;2,42;0;0;3;117,79;3;2,71;1;65;0;2;11640;0
FCV_1_91;07.06.2017 16:11;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;1;;2,69;1;1;;;0;1,68;4;45;0;2;5100;0
FCV_1_92;07.06.2017 16:57;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;175000;;1;1;3;;0;1,27;2;75;0;2;2773,5;0
FCV_1_93;07.06.2017 16:25;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;275000;1,96;1;1;3;228,39;4;11,79;3;65;0;3;7080;0
FCV_1_94;07.06.2017 16:28;Jun 17;6;2017;42;2016 Toyota Mirai;0;1;1;0;225000;2,68;1;0;3;109,02;3;53,78;2;45;0;3;11200;0
FCV_1_95;08.06.2017 08:53;Jun 17;6;2017;42;2017 Toyota Mirai;1;1;0;0;125000;0,18;1;0;4;383,94;0;42,8;3;55;0;3;9000;0
FCV_1_96;29.06.2017 15:29;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;225000;2,7;1;1;3;396,59;0;18,05;4;45;0;2;15367,5;0
FCV_1_97;;;;;15;2017 Toyota Mirai;0;0;0;0;;;;;;;;;4;55;0;3;;0
FCV_1_98;;;;;2;2017 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_99;07.06.2017 16:41;Jun 17;6;2017;42;2016 Toyota Mirai;0;1;0;0;325000;;1;1;4;450,68;0;24,09;2;45;0;2;13200;0
FCV_1_100;07.06.2017 16:35;Jun 17;6;2017;42;2016 Toyota Mirai;1;0;0;0;125000;1,4;0;0;4;119,08;3;31,31;1;35;0;3;22000;0
FCV_1_101;07.06.2017 16:19;Jun 17;6;2017;42;2017 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_102;07.06.2017 16:46;Jun 17;6;2017;42;2016 Toyota Mirai;0;1;0;0;175000;2,78;1;1;4;353,6;0;35,7;3;55;0;3;13400;0
FCV_1_103;07.06.2017 16:47;Jun 17;6;2017;42;2016 Toyota Mirai;1;0;1;0;225000;1,62;1;1;3;;0;5,75;2;65;0;2;5478;0
FCV_1_104;07.06.2017 16:46;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;375000;2,68;1;1;4;455,2;0;10,02;3;35;0;3;4500;0
FCV_1_105;;;;;13;2017 Toyota Mirai;0;0;0;0;;;;;;;;;4;55;0;4;;0
FCV_1_106;07.06.2017 17:06;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;125000;;1;1;3;229,17;0;19,31;6;35;0;3;10506,66667;0
FCV_1_107;07.06.2017 16:49;Jun 17;6;2017;42;2016 Toyota Mirai;0;1;0;0;225000;2,78;1;1;3;370,31;5;;4;45;0;2;7200;0
FCV_1_108;07.06.2017 17:11;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;;0;1;1;3;484,65;4;4,13;2;75;0;3;11750;0
FCV_1_109;07.06.2017 19:48;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;175000;2,85;1;1;3;342,92;1;39,33;2;65;0;3;10400;0
FCV_1_110;;;;;34;2017 Toyota Mirai;0;0;1;0;;;;;;101,69;0;3,52;4;45;0;2;;0
FCV_1_111;07.06.2017 17:10;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;125000;2,29;1;1;3;471,39;0;21,75;2;65;0;2;11492,57143;0
FCV_1_112;07.06.2017 17:03;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;175000;2,59;1;1;3;616,8;0;20,34;5;55;0;4;9840;0
FCV_1_114;17.07.2017 12:06;Jul 17;7;2017;42;2016 Toyota Mirai;;;;;225000;2,49;1;0;4;63,84;10;;1;55;0;1;10363,63636;0
FCV_1_115;07.06.2017 17:23;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;275000;;1;1;4;340,84;130;9,58;2;65;0;2;7548;0
FCV_1_116;;;;;9;2016 Toyota Mirai;0;1;1;0;;;;;;;;;;;;5;;0
FCV_1_117;07.06.2017 17:55;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;475000;2,65;1;1;4;103,52;0;30,84;5;45;0;2;8494,5;0
FCV_1_118;07.06.2017 18:13;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;275000;2,73;1;1;4;340,25;18;9,01;2;55;0;2;9428,4;0
FCV_1_119;;;;;3;2017 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_120;08.06.2017 03:56;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;225000;2,78;1;0;2;260,77;0;24,06;2;65;0;2;10661,53846;0
FCV_1_121;07.06.2017 19:14;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;125000;2,19;1;1;3;39,56;40;2,39;8;65;0;4;5333,333333;0
FCV_1_122;07.06.2017 20:23;Jun 17;6;2017;42;2017 Toyota Mirai;1;0;0;0;125000;2,34;0;1;2;284,56;0;25,96;4;45;0;4;14590;0
FCV_1_123;;;;;25;2017 Toyota Mirai;0;1;0;0;;;;;;;;6,59;2;55;0;2;;0
FCV_1_124;07.06.2017 21:07;Jun 17;6;2017;42;2017 Honda Clarity;0;0;0;0;275000;1,57;1;1;3;198,31;1;22,72;2;55;0;3;9820,8;0
FCV_1_125;;;;;3;2016 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_126;07.06.2017 19:55;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;225000;-2,99;1;1;4;438,41;1;8,16;2;65;0;5;5871,428571;0
FCV_1_129;07.06.2017 20:40;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;175000;2,79;1;1;3;455,17;5;18,94;3;55;1;3;16219,38462;0
FCV_1_128;07.06.2017 20:58;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;;1,5;0;1;4;522,51;2;15,03;2;80;0;2;10176;0
FCV_1_130;07.06.2017 20:40;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;275000;2,77;0;1;3;351,11;1;1,1;4;45;0;2;8400;0
FCV_1_131;07.06.2017 20:53;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;125000;2,78;1;1;3;199,82;0;5,49;2;65;0;2;4120;0
FCV_1_132;07.06.2017 20:55;Jun 17;6;2017;42;2017 Toyota Mirai;1;0;1;0;425000;2,84;1;1;4;;0;18,66;3;45;0;2;6000;0
FCV_1_133;07.06.2017 21:32;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;1;275000;1,11;1;1;4;117,46;6;22,01;3;65;0;3;12369,23077;0
FCV_1_134;07.06.2017 21:45;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;175000;1,58;1;1;3;266,4;2;0,76;5;35;0;3;12000;0
FCV_1_135;07.06.2017 21:34;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;;2,91;1;1;4;;0;3,46;2;75;0;3;1560;0
FCV_1_136;;;;;19;2016 Toyota Mirai;0;1;1;0;;;;;;;;;3;65;0;5;;0
FCV_1_137;08.06.2017 05:51;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;75000;2,82;1;1;3;;0;7,9;1;35;1;1;14760;0
FCV_1_138;10.06.2017 07:45;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;;1,85;1;1;4;336,67;0;14,74;2;65;0;2;9936;0
FCV_1_139;08.06.2017 16:01;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;175000;2,49;0;1;4;434,39;0;36,07;2;55;1;2;16188;0
FCV_1_140;07.06.2017 21:58;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;;2,75;1;1;3;229,42;2;4,67;2;55;1;2;7200;0
FCV_1_141;07.06.2017 22:39;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;475000;;1;1;3;192,13;0;3,96;4;65;0;5;10400;0
FCV_1_142;07.06.2017 22:54;Jun 17;6;2017;42;2016 Toyota Mirai;1;0;1;0;125000;1,55;1;1;3;56,95;0;0,1;4;55;0;2;7521,6;0
FCV_1_143;;;;;10;2017 Toyota Mirai;0;0;0;0;;;;;;;;;;;;4;;0
FCV_1_144;07.06.2017 23:35;Jun 17;6;2017;42;2017 Toyota Mirai;1;0;0;0;225000;2,6;1;1;3;78,25;0;13,31;3;45;1;2;10714,28571;0
FCV_1_145;26.06.2017 05:21;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;75000;2,77;0;0;3;426,1;7;20,32;1;65;0;2;15396;0
FCV_1_146;09.06.2017 06:06;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;125000;2,72;1;1;3;226,02;6;12,87;2;55;1;2;16200;0
FCV_1_147;08.06.2017 06:46;Jun 17;6;2017;42;2016 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_148;08.06.2017 07:36;Jun 17;6;2017;42;2017 Toyota Mirai;1;1;0;0;125000;2,9;1;1;2;272,9;4;24,72;2;55;0;2;124696;0
FCV_1_149;08.06.2017 08:26;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;425000;-3;1;1;4;297,43;0;39,77;4;35;0;2;19950;0
FCV_1_150;08.06.2017 08:48;Jun 17;6;2017;42;2017 Toyota Mirai;1;1;0;0;125000;2,86;1;1;4;516,46;3;5,83;2;65;0;2;6960;0
FCV_1_151;08.06.2017 08:54;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;325000;-1,85;1;1;4;;0;14,6;2;35;0;2;8000;0
FCV_1_152;08.06.2017 11:05;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;175000;0,39;1;1;3;153;0;43,23;4;55;0;4;8970;0
FCV_1_153;;;;;32;2016 Toyota Mirai;0;0;0;0;;;;;;88,71;0;38,55;3;45;0;2;;0
FCV_1_154;08.06.2017 10:19;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;125000;2,52;1;1;2;179,06;0;10,8;1;65;0;2;12688;0
FCV_1_155;08.06.2017 10:39;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;;2,8;1;1;4;;0;14,58;2;65;0;5;15000;0
FCV_1_156;08.06.2017 10:36;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;225000;-3;1;1;3;230,34;0;1,19;2;55;0;2;5352;0
FCV_1_157;;;;;;;;;;;;;;;;;;;;;;1;;
FCV_1_158;08.06.2017 11:09;Jun 17;6;2017;42;2016 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_159;08.06.2017 12:42;Jun 17;6;2017;42;2017 Toyota Mirai;0;1;0;0;275000;1,27;1;0;3;485,37;0;;2;65;0;3;13200;0
FCV_1_160;08.06.2017 13:38;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;175000;0;0;0;3;373,11;1;24,21;2;35;1;2;11850;0
FCV_1_161;08.06.2017 15:23;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;75000;2,74;1;1;4;184,02;4;;2;65;1;2;5148;0
FCV_1_162;08.06.2017 15:33;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;125000;1,39;1;1;4;;0;;1;75;1;1;8040;0
FCV_1_163;08.06.2017 15:40;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;175000;2,75;1;1;4;197,05;15;4,93;2;35;0;1;20500;0
FCV_1_165;08.06.2017 17:22;Jun 17;6;2017;42;2017 Toyota Mirai;0;1;0;0;125000;1,34;0;0;3;79,19;20;1;2;65;0;2;-59200;0
FCV_1_166;08.06.2017 18:12;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;125000;2,75;1;1;2;;0;5,46;2;65;1;3;4336;0
FCV_1_167;08.06.2017 18:29;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;125000;2,72;1;1;4;439,8;0;11,8;2;65;0;2;6947,368421;0
FCV_1_168;08.06.2017 19:32;Jun 17;6;2017;42;2017 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_169;08.06.2017 20:50;Jun 17;6;2017;42;2017 Toyota Mirai;1;1;0;0;;-3;1;1;4;358,87;0;36,78;4;45;1;3;12800;0
FCV_1_170;08.06.2017 21:32;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;125000;2,86;1;1;4;349,26;1;8;2;65;0;3;5142,857143;0
FCV_1_171;08.06.2017 21:56;Jun 17;6;2017;42;2016 Toyota Mirai;1;0;0;0;225000;2,87;1;1;2;351,13;2;51,41;2;55;0;2;27570;0
FCV_1_172;;;;;;;;;;;;;;;;;;;;;;1;;
FCV_1_173;08.06.2017 22:50;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;75000;2,03;1;1;4;;0;6,2;1;80;0;1;7100;0
FCV_1_174;08.06.2017 22:41;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;225000;2,84;1;1;3;534,1;0;11,87;4;45;0;3;8500,8;0
FCV_1_175;12.06.2017 07:17;Jun 17;6;2017;42;2016 Toyota Mirai;1;0;0;0;275000;0,96;1;1;4;;0;8,65;4;55;0;3;14000;0
FCV_1_176;09.06.2017 10:18;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;175000;-0,74;1;1;4;371,97;1;14,17;4;45;0;3;9840;0
FCV_1_177;09.06.2017 11:33;Jun 17;6;2017;42;2017 Honda Clarity;0;1;1;0;500000;2,66;1;0;4;278,41;2;11,26;4;65;0;3;7680;0
FCV_1_178;;;;;;;;;;;;;;;;;;;;;;1;;
